time,mouse_dx,mouse_dy,mouse_scroll
2021-06-11T18:31:21.286,0,0,0
2021-06-11T18:31:21.290,0,0,0
2021-06-11T18:31:21.296,0,0,0
2021-06-11T18:31:21.301,0,0,0
2021-06-11T18:31:21.305,0,0,0
2021-06-11T18:31:21.310,0,0,0
2021-06-11T18:31:21.315,0,0,0
2021-06-11T18:31:21.320,0,0,0
2021-06-11T18:31:21.324,0,0,0
2021-06-11T18:31:21.328,0,0,0
2021-06-11T18:31:21.331,0,0,0
2021-06-11T18:31:21.335,0,0,0
2021-06-11T18:31:21.341,0,0,0
2021-06-11T18:31:21.344,0,0,0
2021-06-11T18:31:21.356,0,0,0
2021-06-11T18:31:21.356,0,0,0
2021-06-11T18:31:21.361,0,0,0
2021-06-11T18:31:21.365,0,0,0
2021-06-11T18:31:21.369,0,0,0
2021-06-11T18:31:21.374,0,0,0
2021-06-11T18:31:21.380,0,0,0
2021-06-11T18:31:21.382,0,0,0
2021-06-11T18:31:21.386,0,0,0
2021-06-11T18:31:21.390,0,0,0
2021-06-11T18:31:21.396,0,0,0
2021-06-11T18:31:21.400,0,0,0
2021-06-11T18:31:21.405,0,0,0
2021-06-11T18:31:21.408,0,0,0
2021-06-11T18:31:21.412,0,0,0
2021-06-11T18:31:21.416,0,0,0
2021-06-11T18:31:21.420,0,0,0
2021-06-11T18:31:21.424,0,0,0
2021-06-11T18:31:21.429,0,0,0
2021-06-11T18:31:21.434,0,0,0
2021-06-11T18:31:21.438,0,0,0
2021-06-11T18:31:21.442,0,0,0
2021-06-11T18:31:21.446,0,0,0
2021-06-11T18:31:21.452,0,0,0
2021-06-11T18:31:21.455,0,0,0
2021-06-11T18:31:21.459,0,0,0
2021-06-11T18:31:21.465,0,0,0
2021-06-11T18:31:21.469,0,0,0
2021-06-11T18:31:21.472,0,0,0
2021-06-11T18:31:21.476,0,0,0
2021-06-11T18:31:21.480,0,0,0
2021-06-11T18:31:21.484,0,0,0
2021-06-11T18:31:21.488,0,0,0
2021-06-11T18:31:21.492,0,0,0
2021-06-11T18:31:21.496,0,0,0
2021-06-11T18:31:21.502,0,0,0
2021-06-11T18:31:21.505,0,0,0
2021-06-11T18:31:21.510,0,0,0
2021-06-11T18:31:21.512,0,0,0
2021-06-11T18:31:21.516,0,0,0
2021-06-11T18:31:21.522,0,0,0
2021-06-11T18:31:21.525,0,0,0
2021-06-11T18:31:21.531,0,0,0
2021-06-11T18:31:21.535,0,0,0
2021-06-11T18:31:21.539,0,0,0
2021-06-11T18:31:21.545,0,0,0
2021-06-11T18:31:21.550,0,0,0
2021-06-11T18:31:21.554,0,0,0
2021-06-11T18:31:21.559,0,0,0
2021-06-11T18:31:21.563,0,0,0
2021-06-11T18:31:21.566,0,0,0
2021-06-11T18:31:21.572,0,0,0
2021-06-11T18:31:21.576,0,0,0
2021-06-11T18:31:21.580,0,0,0
2021-06-11T18:31:21.585,0,0,0
2021-06-11T18:31:21.591,0,0,0
2021-06-11T18:31:21.595,0,0,0
2021-06-11T18:31:21.599,0,0,0
2021-06-11T18:31:21.603,0,0,0
2021-06-11T18:31:21.607,0,0,0
2021-06-11T18:31:21.611,0,0,0
2021-06-11T18:31:21.616,0,0,0
2021-06-11T18:31:21.620,0,0,0
2021-06-11T18:31:21.623,0,0,0
2021-06-11T18:31:21.628,0,0,0
2021-06-11T18:31:21.631,0,0,0
2021-06-11T18:31:21.636,0,0,0
2021-06-11T18:31:21.643,0,0,0
2021-06-11T18:31:21.646,0,0,0
2021-06-11T18:31:21.651,0,0,0
2021-06-11T18:31:21.656,0,0,0
2021-06-11T18:31:21.660,0,0,0
2021-06-11T18:31:21.664,0,0,0
2021-06-11T18:31:21.669,0,0,0
2021-06-11T18:31:21.676,0,0,0
2021-06-11T18:31:21.680,0,0,0
2021-06-11T18:31:21.684,0,0,0
2021-06-11T18:31:21.688,0,0,0
2021-06-11T18:31:21.693,0,0,0
2021-06-11T18:31:21.696,0,0,0
2021-06-11T18:31:21.703,0,0,0
2021-06-11T18:31:21.705,0,0,0
2021-06-11T18:31:21.708,0,0,0
2021-06-11T18:31:21.713,0,0,0
2021-06-11T18:31:21.717,0,0,0
2021-06-11T18:31:21.722,0,0,0
2021-06-11T18:31:21.726,0,0,0
2021-06-11T18:31:21.731,0,0,0
2021-06-11T18:31:21.735,0,0,0
2021-06-11T18:31:21.739,0,0,0
2021-06-11T18:31:21.744,0,0,0
2021-06-11T18:31:21.747,0,0,0
2021-06-11T18:31:21.752,0,0,0
2021-06-11T18:31:21.759,0,0,0
2021-06-11T18:31:21.760,0,0,0
2021-06-11T18:31:21.765,0,0,0
2021-06-11T18:31:21.770,0,0,0
2021-06-11T18:31:21.774,0,0,0
2021-06-11T18:31:21.777,0,0,0
2021-06-11T18:31:21.781,0,0,0
2021-06-11T18:31:21.785,0,0,0
2021-06-11T18:31:21.789,0,0,0
2021-06-11T18:31:21.794,0,0,0
2021-06-11T18:31:21.797,0,0,0
2021-06-11T18:31:21.803,0,0,0
2021-06-11T18:31:21.806,0,0,0
2021-06-11T18:31:21.810,0,0,0
2021-06-11T18:31:21.814,0,0,0
2021-06-11T18:31:21.819,0,0,0
2021-06-11T18:31:21.824,0,0,0
2021-06-11T18:31:21.827,0,0,0
2021-06-11T18:31:21.833,0,0,0
2021-06-11T18:31:21.838,0,0,0
2021-06-11T18:31:21.842,0,0,0
2021-06-11T18:31:21.846,0,0,0
2021-06-11T18:31:21.850,0,0,0
2021-06-11T18:31:21.855,0,0,0
2021-06-11T18:31:21.858,0,0,0
2021-06-11T18:31:21.863,0,0,0
2021-06-11T18:31:21.866,0,0,0
2021-06-11T18:31:21.869,0,0,0
2021-06-11T18:31:21.874,0,0,0
2021-06-11T18:31:21.878,0,0,0
2021-06-11T18:31:21.883,0,0,0
2021-06-11T18:31:21.887,0,0,0
2021-06-11T18:31:21.891,0,0,0
2021-06-11T18:31:21.895,0,0,0
2021-06-11T18:31:21.901,0,0,0
2021-06-11T18:31:21.905,0,0,0
2021-06-11T18:31:21.909,0,0,0
2021-06-11T18:31:21.913,0,0,0
2021-06-11T18:31:21.917,0,0,0
2021-06-11T18:31:21.920,0,0,0
2021-06-11T18:31:21.924,0,0,0
2021-06-11T18:31:21.930,0,0,0
2021-06-11T18:31:21.934,0,0,0
2021-06-11T18:31:21.938,0,0,0
2021-06-11T18:31:21.943,0,0,0
2021-06-11T18:31:21.946,0,0,0
2021-06-11T18:31:21.950,0,0,0
2021-06-11T18:31:21.955,0,0,0
2021-06-11T18:31:21.958,0,0,0
2021-06-11T18:31:21.964,0,0,0
2021-06-11T18:31:21.969,0,0,0
2021-06-11T18:31:21.973,0,0,0
2021-06-11T18:31:21.976,0,0,0
2021-06-11T18:31:21.981,0,0,0
2021-06-11T18:31:21.984,0,0,0
2021-06-11T18:31:21.988,0,0,0
2021-06-11T18:31:21.993,0,0,0
2021-06-11T18:31:21.999,0,0,0
2021-06-11T18:31:22.003,0,0,0
2021-06-11T18:31:22.006,0,0,0
2021-06-11T18:31:22.009,0,0,0
2021-06-11T18:31:22.014,0,0,0
2021-06-11T18:31:22.018,0,0,0
2021-06-11T18:31:22.023,0,0,0
2021-06-11T18:31:22.028,0,0,0
2021-06-11T18:31:22.034,0,0,0
2021-06-11T18:31:22.036,0,0,0
2021-06-11T18:31:22.040,0,0,0
2021-06-11T18:31:22.044,0,0,0
2021-06-11T18:31:22.049,0,0,0
2021-06-11T18:31:22.054,0,0,0
2021-06-11T18:31:22.058,0,0,0
2021-06-11T18:31:22.062,0,0,0
2021-06-11T18:31:22.065,0,0,0
2021-06-11T18:31:22.071,0,0,0
2021-06-11T18:31:22.075,0,0,0
2021-06-11T18:31:22.079,0,0,0
