time,mouse_key
2021-06-11T18:30:39.414,"{}"
2021-06-11T18:30:39.418,"{}"
2021-06-11T18:30:39.422,"{}"
2021-06-11T18:30:39.426,"{}"
2021-06-11T18:30:39.429,"{}"
2021-06-11T18:30:39.434,"{}"
2021-06-11T18:30:39.437,"{}"
2021-06-11T18:30:39.443,"{}"
2021-06-11T18:30:39.446,"{}"
2021-06-11T18:30:39.452,"{}"
2021-06-11T18:30:39.455,"{}"
2021-06-11T18:30:39.461,"{}"
2021-06-11T18:30:39.465,"{}"
2021-06-11T18:30:39.469,"{}"
2021-06-11T18:30:39.473,"{}"
2021-06-11T18:30:39.479,"{}"
2021-06-11T18:30:39.483,"{}"
2021-06-11T18:30:39.489,"{}"
2021-06-11T18:30:39.493,"{}"
2021-06-11T18:30:39.498,"{}"
2021-06-11T18:30:39.501,"{}"
2021-06-11T18:30:39.507,"{}"
2021-06-11T18:30:39.511,"{}"
2021-06-11T18:30:39.514,"{}"
2021-06-11T18:30:39.518,"{}"
2021-06-11T18:30:39.523,"{}"
2021-06-11T18:30:39.528,"{}"
2021-06-11T18:30:39.533,"{}"
2021-06-11T18:30:39.537,"{}"
2021-06-11T18:30:39.541,"{}"
2021-06-11T18:30:39.547,"{}"
2021-06-11T18:30:39.550,"{}"
2021-06-11T18:30:39.554,"{}"
2021-06-11T18:30:39.558,"{}"
2021-06-11T18:30:39.562,"{}"
2021-06-11T18:30:39.565,"{}"
2021-06-11T18:30:39.571,"{}"
2021-06-11T18:30:39.575,"{}"
2021-06-11T18:30:39.579,"{}"
2021-06-11T18:30:39.583,"{}"
2021-06-11T18:30:39.588,"{}"
2021-06-11T18:30:39.594,"{}"
2021-06-11T18:30:39.596,"{}"
2021-06-11T18:30:39.601,"{}"
2021-06-11T18:30:39.606,"{}"
2021-06-11T18:30:39.609,"{}"
2021-06-11T18:30:39.613,"{}"
2021-06-11T18:30:39.617,"{}"
2021-06-11T18:30:39.622,"{}"
2021-06-11T18:30:39.625,"{}"
2021-06-11T18:30:39.629,"{}"
2021-06-11T18:30:39.635,"{}"
2021-06-11T18:30:39.641,"{}"
2021-06-11T18:30:39.644,"{}"
2021-06-11T18:30:39.648,"{}"
2021-06-11T18:30:39.652,"{}"
2021-06-11T18:30:39.658,"{}"
2021-06-11T18:30:39.662,"{}"
2021-06-11T18:30:39.667,"{}"
2021-06-11T18:30:39.671,"{}"
2021-06-11T18:30:39.676,"{}"
2021-06-11T18:30:39.681,"{}"
2021-06-11T18:30:39.684,"{}"
2021-06-11T18:30:39.687,"{}"
2021-06-11T18:30:39.692,"{}"
2021-06-11T18:30:39.699,"{}"
2021-06-11T18:30:39.702,"{}"
2021-06-11T18:30:39.707,"{}"
2021-06-11T18:30:39.709,"{}"
2021-06-11T18:30:39.715,"{}"
2021-06-11T18:30:39.719,"{}"
2021-06-11T18:30:39.724,"{}"
2021-06-11T18:30:39.729,"{}"
2021-06-11T18:30:39.733,"{}"
2021-06-11T18:30:39.737,"{}"
2021-06-11T18:30:39.742,"{}"
2021-06-11T18:30:39.746,"{}"
2021-06-11T18:30:39.750,"{}"
2021-06-11T18:30:39.755,"{}"
2021-06-11T18:30:39.758,"{}"
2021-06-11T18:30:39.764,"{}"
2021-06-11T18:30:39.768,"{}"
2021-06-11T18:30:39.773,"{}"
2021-06-11T18:30:39.776,"{}"
2021-06-11T18:30:39.781,"{}"
2021-06-11T18:30:39.784,"{}"
2021-06-11T18:30:39.788,"{}"
2021-06-11T18:30:39.793,"{}"
